testId;confId;branch S/L;CfxOK;PathLength;PathDist;ExpectedRatio;RatioPath;RatioRot;FoundBranch;RotLength;RotDist
34;6;S;TRUE;1.53139;0.0464926;0.53;0.533661;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0508104;0.53;999;0.52031;S;9.37251;0
34;6;S;TRUE;1.53139;0.0467719;0.54;0.54382;999;S;9.37251;0.118694
34;6;S;TRUE;1.53139;0.0511032;0.54;999;0.530312;S;9.37251;0
34;6;S;TRUE;1.53139;0.04691;0.55;0.553781;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0512242;0.55;999;0.540313;S;9.37251;0
34;6;S;TRUE;1.53139;0.0470129;0.56;0.563902;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0514156;0.56;999;0.550314;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0471886;0.57;0.573881;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0515854;0.57;999;0.560315;S;9.37251;0
34;6;S;TRUE;1.53139;0.047584;0.58;0.583903;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0519261;0.58;999;0.570316;S;9.37251;0
34;6;S;TRUE;1.53139;0.0477267;0.59;0.593871;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0520604;0.59;999;0.580318;S;9.37251;0
34;6;S;TRUE;1.53139;0.0480146;0.6;0.604029;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0523629;0.6;999;0.590319;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0481375;0.61;0.613985;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.052472;0.61;999;0.60032;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0482868;0.62;0.624124;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0527077;0.62;999;0.610322;S;9.37251;0
34;6;S;TRUE;1.53139;0.0484823;0.63;0.634109;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0529203;0.63;999;0.620323;S;9.37251;0
34;6;S;TRUE;1.53139;0.0487833;0.64;0.644272;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0532269;0.64;999;0.630325;S;9.37251;0
34;6;S;TRUE;1.53139;0.0487921;0.65;0.654184;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.053184;0.65;999;0.640326;S;9.37251;0
34;6;S;TRUE;1.53139;0.0490361;0.66;0.66436;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0535605;0.66;999;0.650327;S;9.37251;0
34;6;S;TRUE;1.53139;0.0491438;0.67;0.67431;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.05364;0.67;999;0.660328;S;9.37251;0
34;6;S;TRUE;1.53139;0.0493858;0.68;0.684444;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0538719;0.68;999;0.670329;S;9.37251;0
34;6;S;TRUE;1.53139;0.0495944;0.69;0.694439;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0541016;0.69;999;0.680331;S;9.37251;0
34;6;S;TRUE;1.53139;0.0497198;0.7;0.704394;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0542083;0.7;999;0.690331;S;9.37251;0
34;6;S;TRUE;1.53139;0.0498168;0.71;0.714514;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0543783;0.71;999;0.700333;S;9.37251;0
34;6;S;TRUE;1.53139;0.0501507;0.72;0.724512;999;S;9.37251;0.125115
34;6;S;TRUE;1.53139;0.0546313;0.72;999;0.710334;S;9.37251;0
34;6;S;TRUE;1.53139;0.0503157;0.73;0.734661;999;S;9.37251;0.137056
34;6;S;TRUE;1.53139;0.0549086;0.73;999;0.720335;S;9.37251;0
34;6;S;TRUE;1.53139;0.050415;0.74;0.744608;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0549766;0.74;999;0.730338;S;9.37251;0.0395647
34;6;S;TRUE;1.53139;0.0506746;0.75;0.754749;999;S;9.37251;0.131221
34;6;S;TRUE;1.53139;0.0552371;0.75;999;0.740339;S;9.37251;0
