testId;confId;B*_cf1;B*_cf4;B*_cf6;B*_cfx;MatchesShort;MatchesLong;ControlMatchShort;ControlMatchLong;C_rax1;C_rax2;C_rax3;C_rax4;C_rax5;C_rax6;C_cf1;C_cf4;C_cf6;C_cfx;CalcC_rax1;CalcC_rax2;CalcC_rax3;CalcC_rax4;CalcC_rax5;CalcC_rax6;CalcC_cf1;CalcC_cf4;CalcC_cf6;CalcC_cfx;PathL_rax1;PathL_rax2;PathL_rax3;PathL_rax4;PathL_rax5;PathL_rax6
100;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;90.0005;-22.8321;-23.5954;-89.9995;18.811;135;1;-1;1;0;90.0005;-22.8321;-23.5954;-89.9995;18.811;135;1;-1;1;0;90.0005;-22.8321;-23.5954;-89.9996;18.811;135
101;4;0;-4;0;0;FALSE;TRUE;FALSE;TRUE;45.0011;25.3948;-55.8745;-270;48.2554;90.0005;0;-3;1;0;45.0003;25.3957;-55.8742;-270;48.2553;90.0003;0;-3;1;0;45.0003;25.3957;-55.8742;-270;48.2553;90.0004
101;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;45.0013;25.3947;-55.8745;90.0004;48.2553;90.0002;0;1;1;0;45.0003;25.3957;-55.8742;90.0003;48.2553;90.0003;0;1;1;0;45.0003;25.3957;-55.8742;90.0003;48.2553;90.0003
102;4;0;-4;0;0;FALSE;TRUE;FALSE;TRUE;-45.0002;-18.8037;-43.4681;-180;47.8671;225;-1;-3;2;0;-45.0002;-18.8037;-43.4681;-180;47.8671;225;-1;-3;2;0;-45.0002;-18.8037;-43.4681;-180;47.8671;225
102;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;-45.0002;-18.8037;-43.4681;180;47.8671;225;-1;1;2;0;-45.0002;-18.8037;-43.4681;180;47.8671;225;-1;1;2;0;-45.0002;-18.8037;-43.4681;180;47.8671;225
107;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;-89.9995;-31.7277;-22.1155;135;39.9548;-44.9997;-1;1;-1;0;-89.9997;-31.7276;-22.1156;135;39.9548;-44.9997;-1;1;-1;0;-89.9997;-31.7276;-22.1156;135;39.9548;-44.9997
107;8;0;0;4;0;FALSE;TRUE;FALSE;TRUE;-89.9996;-31.7277;-22.1155;135;39.9548;315;-1;1;3;0;-89.9997;-31.7276;-22.1156;135;39.9548;315;-1;1;3;0;-89.9997;-31.7276;-22.1156;135;39.9548;315
111;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;-0.00328522;28.3026;11.0168;179.999;8.30959;-360;-1;1;-5;0;-0.000693228;28.3035;11.0163;179.999;8.30958;-360.001;-1;1;-5;0;-0.000693228;28.3035;11.0163;179.999;8.30958;-360.001
111;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;-0.000806483;28.3034;11.0163;179.999;8.30958;-0.000687439;-1;1;-1;0;-0.000693228;28.3035;11.0163;179.999;8.30958;-0.000693228;-1;1;-1;0;-0.000693228;28.3035;11.0163;179.999;8.30958;-0.000693228
112;1;0;-4;-4;0;FALSE;TRUE;FALSE;TRUE;44.9978;58.7211;-71.0218;-180.001;44.1446;-225.001;0;-3;-3;0;44.999;58.7219;-71.0218;-180.001;44.1444;-225.001;0;-3;-3;0;44.999;58.7219;-71.0218;-180.001;44.1444;-225.001
112;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;44.998;58.7212;-71.0218;-180.001;44.1445;134.999;0;-3;1;0;44.999;58.7219;-71.0218;-180.001;44.1444;134.999;0;-3;1;0;44.999;58.7219;-71.0218;-180.001;44.1444;134.999
113;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;89.9982;9.98132;9.1753;179.999;21.7335;-360;0;1;-5;0;89.9995;9.98138;9.17539;179.999;21.7334;-360;0;1;-5;0;89.9995;9.98138;9.17539;179.999;21.7334;-360.001
113;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;89.9982;9.98119;9.17517;180;21.7334;-0.000652606;0;1;-1;0;89.9995;9.98138;9.17539;179.999;21.7334;-0.000513841;0;1;-1;0;89.9995;9.98138;9.17539;179.999;21.7334;-0.000507692
