testId;confId;branch S/L;CfxOK;PathLenth;PathDist;RatioPath;RatioRot;FoundBranch;RotLength;Rotdist
1;2;S;TRUE;2636.21;0.271889;0.809891;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.00401396;0;0.81;S;153.474;0
1;2;S;TRUE;2636.21;0.259038;0.819899;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00330169;0;0.82;S;153.474;0
1;2;S;TRUE;2636.21;0.291838;0.829889;0;S;153.474;0
1;2;S;TRUE;2636.21;0.00561258;0;0.830001;S;153.474;0
1;2;S;TRUE;2636.21;0.322177;0.839876;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.00802328;0;0.840001;S;153.474;0
1;2;S;TRUE;2636.21;0.372116;0.849854;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0174505;0;0.850002;S;153.474;0
1;2;S;TRUE;2636.21;0.406562;0.85983;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0274721;0;0.860003;S;153.474;0
1;2;S;TRUE;2636.21;0.443242;0.869806;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0433927;0;0.870004;S;153.474;0
1;2;S;TRUE;2636.21;0.354476;0.879846;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0219965;0;0.880002;S;153.474;0
1;2;S;TRUE;2636.21;0.406988;0.88982;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0376497;0;0.890003;S;153.474;0
1;2;S;TRUE;2636.21;0.46766;0.89979;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0614541;0;0.900005;S;153.474;0
1;2;S;TRUE;2636.21;0.533456;0.909756;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0944769;0;0.910007;S;153.474;0
1;2;S;TRUE;2636.21;0.473374;0.919793;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0659462;0;0.920005;S;153.474;0
1;2;S;TRUE;2636.21;0.442727;0.929813;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0528446;0;0.930004;S;153.474;0
1;2;S;TRUE;2636.21;0.394601;0.93984;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0370831;0;0.940003;S;153.474;0
1;2;S;TRUE;2636.21;0.486292;0.9498;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0719607;0;0.950006;S;153.474;0
1;2;S;TRUE;2636.21;0.459319;0.959818;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0614821;0;0.960005;S;153.474;0
1;2;S;TRUE;2636.21;0.448688;0.969827;0;S;153.474;0.0395647
1;2;S;TRUE;2636.21;0.0584126;0;0.970005;S;153.474;0
1;2;S;TRUE;2636.21;0.460048;0.979827;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0639149;0;0.980005;S;153.474;0
1;2;S;TRUE;2636.21;0.381184;0.989866;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0357639;0;0.990003;S;153.474;0
1;2;S;TRUE;2636.21;0.436983;0.999849;0;S;153.474;0
1;2;S;TRUE;2636.21;0.0483138;0;1;S;153.474;0
2;5;S;TRUE;2940.43;0.490047;0.00999237;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0380807;0;0.00999934;S;179.88;0.0395647
2;5;S;TRUE;2940.43;0.391429;0.0199929;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0175661;0;0.0199994;S;179.88;0
2;5;S;TRUE;2940.43;0.39381;0.0299883;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0189466;0;0.0299994;S;179.88;0
2;5;S;TRUE;2940.43;0.450804;0.0399798;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0324991;0;0.0399991;S;179.88;0
2;5;S;TRUE;2940.43;0.400318;0.0499807;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0226199;0;0.0499993;S;179.88;0
2;5;S;TRUE;2940.43;0.352586;0.0599799;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0151848;0;0.0599994;S;179.88;0
2;5;S;TRUE;2940.43;0.339293;0.0699774;0;S;179.88;0.0395647
2;5;S;TRUE;2940.43;0.0145346;0;0.0699994;S;179.88;0
2;5;S;TRUE;2940.43;0.344698;0.079974;0;S;179.88;0.0395647
2;5;S;TRUE;2940.43;0.0164672;0;0.0799995;S;179.88;0
2;5;S;TRUE;2940.43;0.450918;0.0899477;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0458475;0;0.0899984;S;179.88;0
2;5;S;TRUE;2940.43;0.346814;0.0999622;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0204907;0;0.0999992;S;179.88;0
2;5;S;TRUE;2940.43;0.364551;0.109951;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0278194;0;0.109999;S;179.88;0
2;5;S;TRUE;2940.43;0.377616;0.119935;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0360983;0;0.119998;S;179.88;0
2;5;S;TRUE;2940.43;0.28523;0.129946;0;S;179.88;0
2;5;S;TRUE;2940.43;0.017673;0;0.129999;S;179.88;0
2;5;S;TRUE;2940.43;0.293647;0.139925;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0245622;0;0.139998;S;179.88;0.0395647
2;5;S;TRUE;2940.43;0.227551;0.149936;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0124836;0;0.149999;S;179.88;0
2;5;S;TRUE;2940.43;0.252467;0.159913;0;S;179.88;0.0395647
2;5;S;TRUE;2940.43;0.0201067;0;0.159997;S;179.88;0
2;5;S;TRUE;2940.43;0.225747;0.169918;0;S;179.88;0
2;5;S;TRUE;2940.43;0.014902;0;0.169998;S;179.88;0.0395647
2;5;S;TRUE;2940.43;0.205031;0.179922;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0113731;0;0.179998;S;179.88;0
2;5;S;TRUE;2940.43;0.197042;0.18992;0;S;179.88;0
2;5;S;TRUE;2940.43;0.010665;0;0.189998;S;179.88;0
2;5;S;TRUE;2940.43;0.171607;0.19993;0;S;179.88;0
2;5;S;TRUE;2940.43;0.00716195;0;0.199999;S;179.88;0
2;5;S;TRUE;2940.43;0.20492;0.209899;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0139818;0;0.209997;S;179.88;0
2;5;S;TRUE;2940.43;0.194223;0.2199;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0125904;0;0.219997;S;179.88;0.0395647
2;5;S;TRUE;2940.43;0.185459;0.2299;0;S;179.88;0
2;5;S;TRUE;2940.43;0.011599;0;0.229998;S;179.88;0
2;5;S;TRUE;2940.43;0.178302;0.2399;0;S;179.88;0
2;5;S;TRUE;2940.43;0.0111796;0;0.239998;S;179.88;0
2;5;S;TRUE;2940.43;0.171414;0.249899;0;S;179.88;0.0395647
2;5;S;TRUE;2940.43;0.0103443;0;0.249998;S;179.88;0.0395647
2;5;S;TRUE;2940.43;0.16543;0.259899;0;S;179.88;0
2;5;S;TRUE;2940.43;0.00973831;0;0.259998;S;179.88;0
2;5;S;TRUE;2940.43;0.160058;0.269899;0;S;179.88;0
2;5;S;TRUE;2940.43;0.00940184;0;0.269998;S;179.88;0.0395647
2;5;S;TRUE;2940.43;0.155302;0.279898;0;S;179.88;0
2;5;S;TRUE;2940.43;0.00902165;0;0.279998;S;179.88;0
2;5;S;TRUE;2940.43;0.151169;0.289898;0;S;179.88;0
2;5;S;TRUE;2940.43;0.00882713;0;0.289998;S;179.88;0.0395647
2;5;S;TRUE;2940.43;0.146948;0.299897;0;S;179.88;0
2;5;S;TRUE;2940.43;0.00807996;0;0.299998;S;179.88;0
2;5;S;TRUE;2940.43;0.143653;0.309897;0;S;179.88;0
